Entity,Code,Year,food_emissions_land_use,food_emissions_farm,food_emissions_animal_feed,food_emissions_processing,food_emissions_transport,food_emissions_retail,food_emissions_packaging
Apples,,2018,0,0.2,0,0,0.1,0,0
Bananas,,2018,0,0.3,0,0.1,0.3,0,0.1
Barley,,2018,0,0.2,0,0.1,0,0.3,0.5
Beef (beef herd),,2018,16.3,39.4,1.9,1.3,0.3,0.2,0.2
Beef (dairy herd),,2018,0.9,15.7,2.5,1.1,0.4,0.2,0.3
Beet Sugar,,2018,0,0.5,0,0.2,0.6,0,0.1
Berries & Grapes,,2018,0,0.7,0,0,0.2,0,0.2
Brassicas,,2018,0,0.3,0,0,0.1,0,0
Cane Sugar,,2018,1.2,0.5,0,0,0.8,0,0.1
Cassava,,2018,0.6,0.2,0,0,0.1,0,0
Cheese,,2018,4.5,13.1,2.3,0.7,0.1,0.3,0.2
Citrus Fruit,,2018,-0.1,0.3,0,0,0.1,0,0
Coffee,,2018,3.7,10.4,0,0.6,0.1,0.1,1.6
Dark Chocolate,,2018,14.3,3.7,0,0.2,0.1,0,0.4
Eggs,,2018,0.7,1.3,2.2,0,0.1,0,0.2
Fish (farmed),,2018,0.5,3.6,0.8,0,0.1,0,0.1
Groundnuts,,2018,0.4,1.4,0,0.4,0.1,0,0.1
Lamb & Mutton,,2018,0.5,19.5,2.4,1.1,0.5,0.2,0.3
Maize,,2018,0.3,0.5,0,0.1,0.1,0,0.1
Milk,,2018,0.5,1.5,0.2,0.1,0.1,0.3,0.1
Nuts,,2018,-2.1,2.1,0,0,0.1,0,0.1
Oatmeal,,2018,0,1.4,0,0,0.1,0,0.1
Olive Oil,,2018,-0.4,4.3,0,0.7,0.5,0,0.9
Onions & Leeks,,2018,0,0.2,0,0,0.1,0,0
Other Fruit,,2018,0.1,0.4,0,0,0.2,0,0
Other Pulses,,2018,0,1.1,0,0,0.1,0,0.4
Other Vegetables,,2018,0,0.2,0,0.1,0.2,0,0
Palm Oil,,2018,3.1,2.1,0,1.3,0.2,0,0.9
Peas,,2018,0,0.7,0,0,0.1,0,0
Pig Meat,,2018,1.5,1.7,2.9,0.3,0.3,0.2,0.3
Potatoes,,2018,0,0.2,0,0,0.1,0,0
Poultry Meat,,2018,2.5,0.7,1.8,0.4,0.3,0.2,0.2
Rapeseed Oil,,2018,0.2,2.3,0,0.2,0.2,0,0.8
Rice,,2018,0,3.6,0,0.1,0.1,0.1,0.1
Root Vegetables,,2018,0,0.2,0,0,0.1,0,0
Shrimps (farmed),,2018,0.2,8.4,2.5,0,0.2,0.2,0.3
Soybean Oil,,2018,3.1,1.5,0,0.3,0.3,0,0.8
Soymilk,,2018,0.2,0.1,0,0.2,0.1,0.3,0.1
Sunflower Oil,,2018,0.1,2.1,0,0.2,0.2,0,0.9
Tofu,,2018,1,0.5,0,0.8,0.2,0.3,0.2
Tomatoes,,2018,0.4,0.7,0,0,0.2,0,0.1
Wheat & Rye,,2018,0.1,0.8,0,0.2,0.1,0.1,0.1
Wine,,2018,-0.1,0.6,0,0.1,0.1,0,0.7
