Month,Year,"Monthly consumption, TWh","Cumulative consumption, TWh"
06,2010,0.0,0.0
08,2010,0.0,0.0
09,2010,0.0,0.0
10,2010,0.0,0.0
11,2010,0.0,0.0
12,2010,0.0,0.0
01,2011,0.0,0.0
02,2011,0.0,0.0
03,2011,0.0,0.0
04,2011,0.0,0.0
05,2011,0.01,0.01
07,2011,0.04,0.05
06,2011,0.02,0.07
08,2011,0.01,0.08
09,2011,0.01,0.09
10,2011,0.0,0.09
11,2011,0.0,0.09
12,2011,0.0,0.09
01,2012,0.0,0.09
02,2012,0.0,0.09
03,2012,0.01,0.1
04,2012,0.0,0.1
05,2012,0.01,0.11
07,2012,0.01,0.12
06,2012,0.01,0.13
08,2012,0.01,0.14
09,2012,0.01,0.15
10,2012,0.01,0.16
11,2012,0.01,0.17
12,2012,0.01,0.18
01,2013,0.01,0.19
02,2013,0.01,0.2
03,2013,0.01,0.21
04,2013,0.02,0.23
05,2013,0.03,0.26
07,2013,0.04,0.3
06,2013,0.06,0.36
08,2013,0.08,0.44
09,2013,0.04,0.48
10,2013,0.1,0.58
11,2013,0.19,0.77
12,2013,0.36,1.13
01,2014,0.64,1.77
02,2014,0.75,2.52
03,2014,0.28,2.8
04,2014,0.41,3.21
05,2014,0.57,3.78
07,2014,0.8,4.58
06,2014,0.63,5.21
08,2014,0.66,5.87
09,2014,0.14,6.01
10,2014,0.16,6.17
11,2014,0.17,6.34
12,2014,0.15,6.49
01,2015,0.16,6.65
02,2015,0.15,6.8
03,2015,0.18,6.98
04,2015,0.17,7.15
05,2015,0.18,7.33
07,2015,0.18,7.51
06,2015,0.19,7.7
08,2015,0.2,7.9
09,2015,0.21,8.11
10,2015,0.23,8.34
11,2015,0.25,8.59
12,2015,0.35,8.94
01,2016,0.44,9.38
02,2016,0.55,9.93
03,2016,0.62,10.55
04,2016,0.64,11.19
05,2016,0.73,11.92
07,2016,0.74,12.66
06,2016,0.75,13.41
08,2016,0.65,14.06
09,2016,0.68,14.74
10,2016,0.76,15.5
11,2016,0.8,16.3
12,2016,0.93,17.23
01,2017,1.12,18.35
02,2017,0.78,19.13
03,2017,0.85,19.98
04,2017,0.59,20.57
05,2017,0.92,21.49
07,2017,1.32,22.81
06,2017,1.38,24.19
08,2017,1.36,25.55
09,2017,1.69,27.24
10,2017,2.03,29.27
11,2017,2.13,31.4
12,2017,2.72,34.12
01,2018,3.04,37.16
02,2018,2.78,39.94
03,2018,3.23,43.17
04,2018,2.99,46.16
05,2018,3.18,49.34
07,2018,3.67,53.01
06,2018,3.88,56.89
08,2018,4.51,61.4
09,2018,4.35,65.75
10,2018,4.24,69.99
11,2018,3.59,73.58
12,2018,2.74,76.32
01,2019,3.03,79.35
02,2019,2.72,82.07
03,2019,3.16,85.23
04,2019,3.19,88.42
05,2019,3.68,92.1
07,2019,3.95,96.05
06,2019,4.82,100.87
08,2019,5.18,106.05
09,2019,5.74,111.79
10,2019,5.92,117.71
11,2019,5.45,123.16
12,2019,5.34,128.5
01,2020,6.07,134.57
02,2020,6.04,140.61
03,2020,5.68,146.29
04,2020,5.39,151.68
05,2020,5.35,157.03
07,2020,4.45,161.48
06,2020,4.79,166.27
08,2020,5.3,171.57
09,2020,5.38,176.95
10,2020,5.36,182.31
11,2020,6.02,188.33
12,2020,7.08,195.41
01,2021,8.92,204.33
02,2021,8.44,212.77
03,2021,9.81,222.58
04,2021,9.45,232.03
05,2021,9.98,242.01
07,2021,7.26,249.27
06,2021,5.81,255.08
08,2021,7.29,262.37
09,2021,7.97,270.34
